epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,306.596,2.47366,1.87637,1.19443,0.45894,0.21301,0.22197,0.08908,2.424,1.71869,1.19821,0.0095941,0.0095941,0.0095941
43,313.929,2.53097,1.93198,1.23214,0.429,0.27397,0.23776,0.09891,2.19052,1.78983,1.09932,0.0095842,0.0095842,0.0095842
44,321.23,2.44747,1.85196,1.22522,0.38185,0.25645,0.2256,0.09018,2.21793,1.59442,1.13438,0.0095743,0.0095743,0.0095743
45,328.577,2.43238,1.82242,1.22024,0.48178,0.23471,0.24625,0.09716,2.21765,1.58317,1.13161,0.0095644,0.0095644,0.0095644
46,335.903,2.40163,1.81144,1.21264,0.34227,0.26518,0.26867,0.10509,2.18116,1.53775,1.08046,0.0095545,0.0095545,0.0095545
47,343.225,2.45199,1.86051,1.25412,0.2891,0.23913,0.24727,0.10178,2.23624,1.63278,1.09734,0.0095446,0.0095446,0.0095446
48,350.58,2.42942,1.81422,1.2267,0.25765,0.27391,0.24773,0.08949,2.20857,1.73836,1.11116,0.0095347,0.0095347,0.0095347
49,357.884,2.36438,1.7443,1.18245,0.40321,0.2521,0.23979,0.10099,2.10969,1.44736,1.10089,0.0095248,0.0095248,0.0095248
50,365.208,2.37911,1.76557,1.2036,0.4552,0.24066,0.25201,0.08785,2.39137,1.75245,1.15581,0.0095149,0.0095149,0.0095149
51,372.583,2.34095,1.71034,1.17318,0.23026,0.24783,0.23484,0.09471,2.28417,1.63761,1.15056,0.009505,0.009505,0.009505
52,379.858,2.33109,1.72105,1.16943,0.39912,0.23467,0.23328,0.10122,2.04816,1.48874,1.07692,0.0094951,0.0094951,0.0094951
53,387.129,2.44684,1.81037,1.22047,0.35006,0.21301,0.21806,0.09078,2.18779,1.57157,1.11929,0.0094852,0.0094852,0.0094852
54,394.493,2.34797,1.75924,1.19662,0.37135,0.29043,0.26622,0.11308,2.2613,1.48952,1.13879,0.0094753,0.0094753,0.0094753
55,401.863,2.36645,1.7928,1.17122,0.28385,0.26957,0.24322,0.08971,2.19234,1.65611,1.14447,0.0094654,0.0094654,0.0094654
56,409.177,2.34449,1.76044,1.1721,0.32852,0.28692,0.25482,0.10106,2.21557,1.58566,1.09008,0.0094555,0.0094555,0.0094555
57,416.489,2.29554,1.67151,1.16376,0.30167,0.27516,0.25283,0.10339,2.26979,1.52685,1.11074,0.0094456,0.0094456,0.0094456
58,423.761,2.36737,1.74231,1.18832,0.4556,0.26597,0.26743,0.10474,2.21983,1.37699,1.10525,0.0094357,0.0094357,0.0094357
59,430.972,2.34836,1.75682,1.17984,0.4622,0.27811,0.24951,0.10988,2.04384,1.55153,1.0608,0.0094258,0.0094258,0.0094258
60,438.251,2.33781,1.67446,1.16882,0.46179,0.24877,0.2485,0.10704,2.03277,1.52595,1.07642,0.0094159,0.0094159,0.0094159
61,445.57,2.37594,1.72522,1.19269,0.53571,0.27826,0.25498,0.09732,2.1926,1.52174,1.07981,0.009406,0.009406,0.009406
62,452.914,2.34991,1.68566,1.16952,0.54909,0.24859,0.23912,0.09512,2.31473,1.56964,1.08998,0.0093961,0.0093961,0.0093961
